hour_id,visitors,sales,conversion_rate
97,161,1,0.0062
98,153,2,0.0131
99,138,0,0.0
100,142,1,0.007
101,155,2,0.0129
102,170,1,0.0059
103,147,3,0.0204
104,142,4,0.0282
105,165,5,0.0303
106,137,1,0.0073
107,174,2,0.0115
108,152,1,0.0066
109,135,3,0.0222
110,166,4,0.0241
111,157,0,0.0
112,145,6,0.0414
113,162,1,0.0062
114,150,3,0.02
115,162,4,0.0247
116,157,5,0.0318
117,168,4,0.0238
118,145,4,0.0276
119,153,2,0.0131
120,149,4,0.0268
121,142,1,0.007
122,112,4,0.0357
123,163,3,0.0184
124,134,4,0.0299
125,160,3,0.0188
126,154,4,0.026
127,123,2,0.0163
128,151,4,0.0265
129,150,1,0.0067
130,161,1,0.0062
131,148,2,0.0135
132,164,2,0.0122
133,147,5,0.034
134,136,1,0.0074
135,152,7,0.0461
136,156,2,0.0128
137,152,1,0.0066
138,147,4,0.0272
139,145,3,0.0207
140,121,2,0.0165
141,165,3,0.0182
142,149,4,0.0268
143,150,2,0.0133
144,137,8,0.0584
145,146,7,0.0479
146,155,4,0.0258
147,145,1,0.0069
148,150,4,0.0267
149,156,1,0.0064
150,127,0,0.0
151,175,2,0.0114
152,146,3,0.0205
153,148,5,0.0338
154,175,5,0.0286
155,138,4,0.029
156,131,2,0.0153
157,131,2,0.0153
158,127,2,0.0157
159,164,8,0.0488
160,162,1,0.0062
161,133,4,0.0301
162,155,3,0.0194
163,159,3,0.0189
164,142,4,0.0282
165,159,3,0.0189
166,145,5,0.0345
167,144,5,0.0347
168,165,3,0.0182
169,159,2,0.0126
170,132,3,0.0227
171,150,5,0.0333
172,143,1,0.007
173,146,3,0.0205
174,169,4,0.0237
175,178,5,0.0281
176,155,1,0.0065
177,142,4,0.0282
178,156,6,0.0385
179,161,2,0.0124
180,130,1,0.0077
181,125,6,0.048
182,148,1,0.0068
183,145,5,0.0345
184,135,3,0.0222
185,154,2,0.013
186,129,4,0.031
187,128,2,0.0156
188,158,3,0.019
189,130,2,0.0154
190,145,3,0.0207
191,145,1,0.0069
192,161,3,0.0186
193,147,6,0.0408
194,132,2,0.0152
195,124,3,0.0242
196,133,2,0.015
197,159,4,0.0252
198,183,2,0.0109
199,142,6,0.0423
200,128,2,0.0156
201,155,2,0.0129
202,148,1,0.0068
203,153,1,0.0065
204,121,2,0.0165
205,148,2,0.0135
206,142,4,0.0282
207,149,3,0.0201
208,153,2,0.0131
209,157,4,0.0255
210,143,4,0.028
211,157,1,0.0064
212,170,2,0.0118
213,177,1,0.0056
214,154,4,0.026
215,173,4,0.0231
216,121,2,0.0165
217,146,5,0.0342
218,153,4,0.0261
219,164,4,0.0244
220,147,5,0.034
221,165,2,0.0121
222,148,1,0.0068
223,179,2,0.0112
224,140,0,0.0
225,154,3,0.0195
226,133,5,0.0376
227,151,0,0.0
228,151,1,0.0066
229,152,3,0.0197
230,166,6,0.0361
231,134,2,0.0149
232,160,3,0.0188
233,157,0,0.0
234,134,1,0.0075
235,145,7,0.0483
236,146,6,0.0411
237,169,0,0.0
238,150,6,0.04
239,146,3,0.0205
240,150,5,0.0333
241,148,3,0.0203
242,150,3,0.02
243,155,3,0.0194
244,128,3,0.0234
245,134,1,0.0075
246,135,0,0.0
247,137,2,0.0146
248,168,4,0.0238
249,156,2,0.0128
250,138,3,0.0217
251,136,6,0.0441
252,137,1,0.0073
253,133,3,0.0226
254,138,2,0.0145
255,150,5,0.0333
256,155,1,0.0065
257,125,3,0.024
258,162,5,0.0309
259,137,6,0.0438
260,145,4,0.0276
261,154,3,0.0195
262,149,3,0.0201
263,117,4,0.0342
264,158,3,0.019
265,150,0,0.0
266,132,5,0.0379
267,151,4,0.0265
268,141,3,0.0213
269,139,1,0.0072
270,133,3,0.0226
271,153,2,0.0131
272,161,4,0.0248
273,130,1,0.0077
274,153,4,0.0261
275,148,10,0.0676
276,142,0,0.0
277,155,7,0.0452
278,154,3,0.0195
279,131,4,0.0305
280,140,4,0.0286
281,137,3,0.0219
282,137,4,0.0292
283,129,4,0.031
284,147,2,0.0136
285,132,2,0.0152
286,163,4,0.0245
287,137,4,0.0292
288,173,5,0.0289
289,152,4,0.0263
290,160,3,0.0188
291,144,4,0.0278
292,150,1,0.0067
293,133,3,0.0226
294,142,0,0.0
295,136,2,0.0147
296,151,2,0.0132
297,144,2,0.0139
298,143,4,0.028
299,141,2,0.0142
300,160,3,0.0188
301,149,2,0.0134
302,144,2,0.0139
303,134,1,0.0075
304,174,1,0.0057
305,127,3,0.0236
306,153,4,0.0261
307,135,3,0.0222
308,138,2,0.0145
309,136,2,0.0147
310,156,5,0.0321
311,145,3,0.0207
312,146,3,0.0205
313,148,0,0.0
314,149,2,0.0134
315,159,2,0.0126
316,140,2,0.0143
317,146,3,0.0205
318,169,3,0.0178
319,155,3,0.0194
320,135,4,0.0296
321,154,5,0.0325
322,168,4,0.0238
323,135,6,0.0444
324,140,0,0.0
325,160,2,0.0125
326,144,0,0.0
327,132,3,0.0227
328,134,5,0.0373
329,162,2,0.0123
330,140,5,0.0357
331,158,1,0.0063
332,157,6,0.0382
333,141,2,0.0142
334,153,1,0.0065
335,149,3,0.0201
336,136,2,0.0147
337,150,2,0.0133
338,173,2,0.0116
339,157,5,0.0318
340,158,3,0.019
341,153,2,0.0131
342,147,3,0.0204
343,148,4,0.027
344,134,2,0.0149
345,166,3,0.0181
346,153,1,0.0065
347,124,1,0.0081
348,162,4,0.0247
349,144,1,0.0069
350,151,3,0.0199
351,144,4,0.0278
352,159,1,0.0063
353,139,3,0.0216
354,135,2,0.0148
355,150,6,0.04
356,170,3,0.0176
357,153,4,0.0261
358,135,3,0.0222
359,150,0,0.0
360,127,3,0.0236
361,139,6,0.0432
362,138,3,0.0217
363,152,5,0.0329
364,161,5,0.0311
365,151,2,0.0132
366,146,2,0.0137
367,136,3,0.0221
368,145,2,0.0138
369,155,5,0.0323
370,158,5,0.0316
371,140,2,0.0143
372,162,2,0.0123
373,155,4,0.0258
374,131,2,0.0153
375,158,5,0.0316
376,163,3,0.0184
377,156,4,0.0256
378,142,1,0.007
379,139,3,0.0216
380,137,2,0.0146
381,147,3,0.0204
382,163,2,0.0123
383,141,4,0.0284
384,153,5,0.0327
385,154,2,0.013
386,152,1,0.0066
387,160,0,0.0
388,166,4,0.0241
389,168,4,0.0238
390,147,3,0.0204
391,141,2,0.0142
392,155,2,0.0129
393,135,3,0.0222
394,137,3,0.0219
395,133,7,0.0526
396,142,1,0.007
397,155,4,0.0258
398,138,2,0.0145
399,166,3,0.0181
400,154,4,0.026
401,147,4,0.0272
402,151,8,0.053
403,136,1,0.0074
404,129,1,0.0078
405,140,4,0.0286
406,142,3,0.0211
407,158,2,0.0127
408,152,1,0.0066
409,159,1,0.0063
410,153,5,0.0327
411,150,1,0.0067
412,144,2,0.0139
413,132,1,0.0076
414,158,2,0.0127
415,157,1,0.0064
416,140,3,0.0214
417,162,1,0.0062
418,141,4,0.0284
419,145,2,0.0138
420,171,3,0.0175
421,178,6,0.0337
422,137,3,0.0219
423,166,3,0.0181
424,162,2,0.0123
425,157,2,0.0127
426,140,3,0.0214
427,176,9,0.0511
428,137,3,0.0219
429,170,4,0.0235
430,157,4,0.0255
431,176,3,0.017
432,165,1,0.0061
433,143,3,0.021
434,140,6,0.0429
435,128,1,0.0078
436,144,4,0.0278
437,126,1,0.0079
438,151,3,0.0199
439,143,1,0.007
440,167,3,0.018
441,140,4,0.0286
442,166,2,0.012
443,166,4,0.0241
444,175,5,0.0286
445,160,6,0.0375
446,149,2,0.0134
447,160,3,0.0188
448,147,1,0.0068
449,140,7,0.05
450,145,5,0.0345
451,142,3,0.0211
452,119,4,0.0336
453,146,3,0.0205
454,161,4,0.0248
455,147,1,0.0068
456,176,5,0.0284
457,154,1,0.0065
458,175,5,0.0286
459,154,4,0.026
460,140,4,0.0286
461,139,0,0.0
462,161,2,0.0124
463,146,2,0.0137
464,157,2,0.0127
465,163,1,0.0061
466,139,5,0.036
467,153,3,0.0196
468,130,2,0.0154
469,141,2,0.0142
470,165,3,0.0182
471,156,3,0.0192
472,130,2,0.0154
473,145,5,0.0345
474,158,3,0.019
475,129,7,0.0543
476,157,5,0.0318
477,165,2,0.0121
478,149,6,0.0403
479,163,1,0.0061
480,156,5,0.0321
481,141,2,0.0142
482,162,5,0.0309
483,158,5,0.0316
484,157,5,0.0318
485,154,4,0.026
486,136,2,0.0147
487,166,1,0.006
488,163,3,0.0184
489,144,1,0.0069
490,136,3,0.0221
491,163,2,0.0123
492,155,7,0.0452
493,155,4,0.0258
494,161,5,0.0311
495,160,1,0.0062
496,183,6,0.0328
497,155,6,0.0387
498,132,2,0.0152
499,157,3,0.0191
500,143,4,0.028
